"","broadband","blogs","onlinenews","income","age","race","educ1","interest","age1","sex","pid"
"1",NA,NA,NA,"(4,6]",84,"Non-Whte","College",1,"(57,86]","Male","Repubican"
"2","Dial-Up",0,0,"(6,8]",36,"White","College",3,"[18,40]","Female","Repubican"
"3",NA,NA,NA,NA,43,"White","HS or Less",1,"(40,57]","Female","Repubican"
"4","High Speed",NA,NA,"(6,8]",52,"White","Some College",1,"(40,57]","Female","Independent"
"5","Dial-Up",NA,NA,NA,52,"White","College",1,"(40,57]","Female","Repubican"
"6",NA,NA,NA,"(4,6]",74,"Non-Whte","College",1,"(57,86]","Male","Democrat"
"7","High Speed",0,0,"(4,6]",43,"Non-Whte","HS or Less",3,"(40,57]","Female","Independent"
"8","Dial-Up",0,0,"(6,8]",43,"Non-Whte","Some College",1,"(40,57]","Male","Democrat"
"9","Dial-Up",NA,NA,"[1,4]",77,"Non-Whte","College",1,"(57,86]","Female","Democrat"
"10","High Speed",NA,NA,"(6,8]",54,"White","College",1,"(40,57]","Male","Repubican"
"11","High Speed",NA,NA,"(6,8]",47,"White","College",1,"(40,57]","Male","Democrat"
"12",NA,NA,NA,"[1,4]",70,"White","HS or Less",2,"(57,86]","Female","Repubican"
"13","Dial-Up",NA,NA,"(6,8]",70,"White","College",1,"(57,86]","Female","Independent"
"14","High Speed",0,0,"(6,8]",61,"White","College",1,"(57,86]","Male","Independent"
"15","High Speed",NA,NA,"(6,8]",53,"White","College",1,"(40,57]","Male","Democrat"
"16","High Speed",NA,NA,"(4,6]",42,"White","College",1,"(40,57]","Female","Independent"
"17",NA,NA,NA,NA,42,"White","HS or Less",4,"(40,57]","Male","Independent"
"18","High Speed",0,0,"(6,8]",40,"Non-Whte","College",1,"[18,40]","Male","Repubican"
"19",NA,NA,NA,NA,85,"White","HS or Less",1,"(57,86]","Male","Repubican"
"20",NA,NA,NA,"(4,6]",42,"White","HS or Less",3,"(40,57]","Female","Repubican"
"21",NA,NA,NA,NA,49,"White","College",1,"(40,57]","Male","Independent"
"22",NA,NA,NA,"(4,6]",38,"White","College",1,"[18,40]","Female","Repubican"
"23","Dial-Up",0,0,"[1,4]",43,"White","HS or Less",2,"(40,57]","Male","Democrat"
"24",NA,NA,NA,"(4,6]",26,"White","HS or Less",3,"[18,40]","Male","Independent"
"25","High Speed",0,0,"[1,4]",38,"White","College",1,"[18,40]","Female","Independent"
"26",NA,NA,NA,"[1,4]",69,"White","Some College",1,"(57,86]","Female","Independent"
"27","High Speed",0.5,0,"(4,6]",32,"White","Some College",4,"[18,40]","Male","Independent"
"28","Dial-Up",NA,NA,"[1,4]",36,"Non-Whte","Some College",4,"[18,40]","Female","Independent"
"29",NA,NA,NA,"[1,4]",43,"White","HS or Less",2,"(40,57]","Male","Repubican"
"30","High Speed",0,0,"(6,8]",54,"White","College",1,"(40,57]","Male","Repubican"
"31",NA,0,0.5,"[1,4]",24,"White","College",1,"[18,40]","Male","Democrat"
"32","Dial-Up",NA,NA,"[1,4]",57,"Non-Whte","College",1,"(40,57]","Male","Democrat"
"33","High Speed",NA,NA,"(6,8]",40,"White","Some College",3,"[18,40]","Female","Independent"
"34","High Speed",NA,NA,"(4,6]",53,"Non-Whte","Some College",3,"(40,57]","Male","Independent"
"35",NA,NA,NA,"[1,4]",84,"White","HS or Less",3,"(57,86]","Male","Democrat"
"36",NA,NA,NA,"[1,4]",47,"White","College",4,"(40,57]","Female","Independent"
"37",NA,NA,NA,"[1,4]",64,"White","HS or Less",1,"(57,86]","Female","Democrat"
"38","Dial-Up",0,0,NA,55,"White","HS or Less",1,"(40,57]","Male","Independent"
"39",NA,NA,NA,NA,NA,"Non-Whte",NA,1,NA,"Female","Independent"
"40","Dial-Up",0,0,"[1,4]",64,"White","HS or Less",1,"(57,86]","Male","Democrat"
"41",NA,NA,NA,"[1,4]",61,"White","Some College",1,"(57,86]","Female","Democrat"
"42","Dial-Up",0,0,"(4,6]",66,"White","College",1,"(57,86]","Female","Democrat"
"43","High Speed",0,0,"[1,4]",48,"White","College",1,"(40,57]","Male","Independent"
"44","High Speed",NA,NA,"(4,6]",28,"White","HS or Less",1,"[18,40]","Male","Repubican"
"45","Dial-Up",NA,NA,"(6,8]",50,"White","College",1,"(40,57]","Female","Repubican"
"46",NA,NA,NA,"[1,4]",87,"White","HS or Less",1,NA,"Female","Independent"
"47","High Speed",NA,NA,NA,38,"White","College",1,"[18,40]","Male","Independent"
"48","High Speed",0,0,"(6,8]",46,"White","College",2,"(40,57]","Female","Democrat"
"49","Dial-Up",0,0,"[1,4]",33,"White","College",1,"[18,40]","Female","Repubican"
"50","High Speed",1,1,NA,37,"White","College",1,"[18,40]","Male","Democrat"
"51",NA,NA,NA,NA,64,"Non-Whte","HS or Less",2,"(57,86]","Female","Democrat"
"52","High Speed",NA,NA,"(4,6]",50,"White","College",1,"(40,57]","Male","Independent"
"53",NA,NA,NA,NA,80,"White","HS or Less",1,"(57,86]","Male","Repubican"
"54","Dial-Up",NA,NA,"[1,4]",32,"White","Some College",3,"[18,40]","Female","Repubican"
"55",NA,NA,NA,"[1,4]",NA,"White","HS or Less",2,NA,"Male","Democrat"
"56","High Speed",NA,NA,"(4,6]",38,"White","Some College",2,"[18,40]","Male","Independent"
"57","High Speed",0,0,"(4,6]",33,"White","College",1,"[18,40]","Male","Democrat"
"58",NA,NA,NA,"(6,8]",49,"White","HS or Less",1,"(40,57]","Female","Repubican"
"59",NA,NA,NA,"[1,4]",81,"White","HS or Less",1,"(57,86]","Male","Independent"
"60",NA,NA,NA,"[1,4]",74,"White","College",1,"(57,86]","Male","Independent"
"61",NA,NA,NA,"[1,4]",44,"White","College",3,"(40,57]","Male","Repubican"
"62","Dial-Up",NA,NA,NA,30,"White","College",2,"[18,40]","Female","Independent"
"63",NA,NA,NA,NA,77,"White","Some College",3,"(57,86]","Male","Independent"
"64","Dial-Up",0,0,"(6,8]",50,"White","HS or Less",2,"(40,57]","Male","Repubican"
"65","Dial-Up",0,0,"[1,4]",41,"White","Some College",1,"(40,57]","Male","Democrat"
"66","Dial-Up",0,NA,"[1,4]",52,"White","Some College",4,"(40,57]","Female","Repubican"
"67","Dial-Up",NA,NA,"[1,4]",31,"White","Some College",2,"[18,40]","Female","Democrat"
"68",NA,0,0,"(4,6]",55,"Non-Whte","College",1,"(40,57]","Male","Independent"
"69",NA,NA,NA,NA,75,"White","Some College",1,"(57,86]","Male","Repubican"
"70","Dial-Up",0,0,"[1,4]",37,"White","HS or Less",4,"[18,40]","Male","Independent"
"71",NA,NA,NA,"(6,8]",46,"White","HS or Less",1,"(40,57]","Male","Repubican"
"72",NA,NA,NA,NA,50,"White","Some College",1,"(40,57]","Female","Repubican"
"73",NA,NA,NA,NA,86,"White","Some College",2,"(57,86]","Male","Democrat"
"74",NA,NA,NA,NA,37,"White","HS or Less",4,"[18,40]","Female","Independent"
"75","High Speed",NA,NA,"[1,4]",72,"White","College",1,"(57,86]","Female","Democrat"
"76",NA,NA,NA,"[1,4]",59,"White","Some College",1,"(57,86]","Male","Independent"
"77","Dial-Up",NA,NA,"[1,4]",29,"White","Some College",1,"[18,40]","Female","Repubican"
"78","Dial-Up",0,0,"(4,6]",67,"White","College",1,"(57,86]","Male","Repubican"
"79",NA,NA,NA,"(6,8]",54,"White","Some College",1,"(40,57]","Female","Repubican"
"80","Dial-Up",0,0,"(6,8]",26,"White","College",2,"[18,40]","Female","Democrat"
"81","High Speed",NA,NA,"(6,8]",46,"White","Some College",1,"(40,57]","Male","Repubican"
"82","Dial-Up",NA,NA,"[1,4]",33,"White","College",2,"[18,40]","Female","Repubican"
"83",NA,NA,NA,"(4,6]",55,"White","HS or Less",1,"(40,57]","Female","Repubican"
"84",NA,NA,NA,"[1,4]",76,"Non-Whte","HS or Less",1,"(57,86]","Male","Democrat"
"85",NA,NA,NA,"(4,6]",61,"White","HS or Less",3,"(57,86]","Female","Repubican"
"86",NA,NA,NA,"[1,4]",86,"White","Some College",1,"(57,86]","Female","Democrat"
"87",NA,NA,NA,"(6,8]",NA,"Non-Whte","College",1,NA,"Male","Independent"
"88","High Speed",0,0,"(6,8]",18,"White","HS or Less",1,"[18,40]","Male","Repubican"
"89","High Speed",0,0,"(4,6]",28,"White","College",1,"[18,40]","Female","Independent"
"90","Dial-Up",0,0,"[1,4]",36,"Non-Whte","Some College",1,"[18,40]","Male","Democrat"
"91",NA,0,0,"(6,8]",40,"White","College",1,"[18,40]","Male","Repubican"
"92",NA,NA,NA,"[1,4]",21,"White","HS or Less",2,"[18,40]","Female","Independent"
"93",NA,NA,NA,NA,40,"White","College",1,"[18,40]","Female","Independent"
"94","High Speed",NA,NA,"(6,8]",31,"White","College",2,"[18,40]","Male","Democrat"
"95",NA,NA,NA,"(4,6]",NA,"Non-Whte","College",1,NA,"Male","Independent"
"96","High Speed",0.5,0,"(4,6]",41,"White","College",2,"(40,57]","Male","Independent"
"97","Dial-Up",0,0,"(4,6]",69,"White","College",1,"(57,86]","Female","Democrat"
"98","Dial-Up",0,0,NA,42,"Non-Whte","Some College",1,"(40,57]","Female","Democrat"
"99",NA,NA,NA,"(6,8]",22,"White","Some College",1,"[18,40]","Male","Repubican"
"100","High Speed",NA,NA,"(6,8]",49,"White","Some College",1,"(40,57]","Female","Repubican"
"101","High Speed",0,0,"[1,4]",34,"White","College",3,"[18,40]","Female","Democrat"
"102","High Speed",NA,NA,"(4,6]",66,"Non-Whte","College",1,"(57,86]","Female","Democrat"
"103",NA,NA,NA,NA,64,"White","College",1,"(57,86]","Male","Independent"
"104",NA,NA,NA,"(4,6]",58,"Non-Whte","College",1,"(57,86]","Female","Democrat"
