"","state","year","govparty_c"
"1","Alabama",1939,1
"2","Alabama",1940,1
"3","Alabama",1941,1
"4","Alabama",1942,1
"5","Alabama",1943,1
"6","Alabama",1944,1
"7","Alabama",1945,1
"8","Alabama",1946,1
"9","Alabama",1947,1
"10","Alabama",1948,1
"11","Alabama",1949,1
"12","Alabama",1950,1
"13","Alabama",1951,1
"14","Alabama",1952,1
"15","Alabama",1953,1
"16","Alabama",1954,1
"17","Alabama",1955,1
"18","Alabama",1956,1
"19","Alabama",1957,1
"20","Alabama",1958,1
"21","Alabama",1959,1
"22","Alabama",1960,1
"23","Alabama",1961,1
"24","Alabama",1962,1
"25","Alabama",1963,1
"26","Alabama",1964,1
"27","Alabama",1965,1
"28","Alabama",1966,1
"29","Alabama",1967,1
"30","Alabama",1968,1
"31","Alabama",1969,1
"32","Alabama",1970,1
"33","Alabama",1971,1
"34","Alabama",1972,1
"35","Alabama",1973,1
"36","Alabama",1974,1
"37","Alabama",1975,1
"38","Alabama",1976,1
"39","Alabama",1977,1
"40","Alabama",1978,1
"41","Alabama",1979,1
"42","Alabama",1980,1
"43","Alabama",1981,1
"44","Alabama",1982,1
"45","Alabama",1983,1
"46","Alabama",1984,1
"47","Alabama",1985,1
"48","Alabama",1986,1
"49","Alabama",1993,1
"50","Alabama",1994,1
"51","Alabama",1999,1
"52","Alabama",2000,1
"53","Alabama",2001,1
"54","Alabama",2002,1
"55","Alaska",1953,NA
"56","Alaska",1954,NA
"57","Alaska",1955,NA
"58","Alaska",1956,NA
"59","Alaska",1957,NA
"60","Alaska",1958,NA
"61","Alaska",1959,1
"62","Alaska",1960,1
"63","Alaska",1961,1
"64","Alaska",1962,1
"65","Alaska",1965,1
"66","Alaska",1966,1
"67","Alaska",1967,0
"68","Alaska",1968,0
"69","Alaska",2003,0
"70","Alaska",2004,0
"71","Alaska",2005,0
"72","Alaska",2006,0
"73","Alaska",2007,0
"74","Alaska",2008,0
"75","Arizona",1937,1
"76","Arizona",1938,1
"77","Arizona",1939,1
"78","Arizona",1940,1
"79","Arizona",1941,1
"80","Arizona",1942,1
"81","Arizona",1943,1
"82","Arizona",1944,1
"83","Arizona",1945,1
"84","Arizona",1946,1
"85","Arizona",1947,1
"86","Arizona",1948,1
"87","Arizona",1949,1
"88","Arizona",1950,1
"89","Arizona",1955,1
"90","Arizona",1956,1
"91","Arizona",1957,1
"92","Arizona",1958,1
"93","Arizona",1965,1
"94","Arizona",1966,1
"95","Arizona",1967,0
"96","Arizona",1968,0
"97","Arizona",1969,0
"98","Arizona",1970,0
"99","Arizona",1971,0
"100","Arizona",1972,0
"101","Arizona",1973,0
"102","Arizona",1974,0
"103","Arizona",1987,0
"104","Arkansas",1937,1
"105","Arkansas",1938,1
"106","Arkansas",1939,1
"107","Arkansas",1940,1
"108","Arkansas",1941,1
"109","Arkansas",1942,1
"110","Arkansas",1943,1
"111","Arkansas",1944,1
"112","Arkansas",1945,1
"113","Arkansas",1946,1
"114","Arkansas",1947,1
"115","Arkansas",1948,1
"116","Arkansas",1949,1
"117","Arkansas",1950,1
"118","Arkansas",1951,1
"119","Arkansas",1952,1
"120","Arkansas",1953,1
"121","Arkansas",1954,1
"122","Arkansas",1955,1
"123","Arkansas",1956,1
"124","Arkansas",1957,1
"125","Arkansas",1958,1
"126","Arkansas",1959,1
"127","Arkansas",1960,1
"128","Arkansas",1961,1
"129","Arkansas",1962,1
"130","Arkansas",1963,1
"131","Arkansas",1964,1
"132","Arkansas",1965,1
"133","Arkansas",1966,1
"134","Arkansas",1971,1
"135","Arkansas",1972,1
"136","Arkansas",1973,1
"137","Arkansas",1974,1
"138","Arkansas",1975,1
"139","Arkansas",1976,1
"140","Arkansas",1977,1
"141","Arkansas",1978,1
"142","Arkansas",1979,1
"143","Arkansas",1980,1
"144","Arkansas",1983,1
"145","Arkansas",1984,1
"146","Arkansas",1985,1
"147","Arkansas",1986,1
"148","Arkansas",1987,1
"149","Arkansas",1988,1
"150","Arkansas",1989,1
"151","Arkansas",1990,1
"152","Arkansas",1991,1
"153","Arkansas",1992,1
"154","Arkansas",1993,1
"155","Arkansas",1994,1
"156","Arkansas",1995,1
"157","Arkansas",2007,1
"158","Arkansas",2008,1
"159","Arkansas",2009,1
"160","Arkansas",2010,1
"161","California",1943,0
"162","California",1944,0
"163","California",1945,0
"164","California",1946,0
"165","California",1947,0
"166","California",1948,0
"167","California",1949,0
"168","California",1950,0
"169","California",1951,0
"170","California",1952,0
"171","California",1953,0
"172","California",1954,0
"173","California",1955,0
"174","California",1956,0
"175","California",1959,1
"176","California",1960,1
"177","California",1961,1
"178","California",1962,1
"179","California",1963,1
"180","California",1964,1
"181","California",1965,1
"182","California",1966,1
"183","California",1969,0
"184","California",1970,0
"185","California",1975,1
"186","California",1976,1
"187","California",1977,1
"188","California",1978,1
"189","California",1979,1
"190","Colorado",1937,1
"191","Colorado",1938,1
"192","Colorado",1943,0
"193","Colorado",1944,0
"194","Colorado",1945,0
"195","Colorado",1946,0
"196","Colorado",1951,0
"197","Colorado",1952,0
"198","Colorado",1953,0
"199","Colorado",1954,0
"200","Colorado",1957,1
"201","Colorado",1958,1
"202","Colorado",1959,1
"203","Colorado",1960,1
"204","Colorado",1961,1
"205","Colorado",1962,1
"206","Colorado",1963,0
"207","Colorado",1964,0
"208","Colorado",1967,0
"209","Colorado",1968,0
"210","Colorado",1969,0
"211","Colorado",1970,0
"212","Colorado",1971,0
"213","Colorado",1972,0
"214","Colorado",1973,0
"215","Colorado",1974,0
"216","Colorado",1999,0
"217","Colorado",2000,0
"218","Colorado",2003,0
"219","Colorado",2004,0
"220","Colorado",2007,1
"221","Colorado",2008,1
"222","Colorado",2009,1
"223","Colorado",2010,1
"224","Connecticut",1943,0
"225","Connecticut",1944,0
"226","Connecticut",1947,0
"227","Connecticut",1948,0
"228","Connecticut",1953,0
"229","Connecticut",1954,0
"230","Connecticut",1959,1
"231","Connecticut",1960,1
"232","Connecticut",1967,1
"233","Connecticut",1968,1
"234","Connecticut",1969,1
"235","Connecticut",1970,1
"236","Connecticut",1973,0
"237","Connecticut",1974,0
"238","Connecticut",1975,1
"239","Connecticut",1976,1
"240","Connecticut",1977,1
"241","Connecticut",1978,1
"242","Connecticut",1979,1
"243","Connecticut",1980,1
"244","Connecticut",1981,1
"245","Connecticut",1982,1
"246","Connecticut",1983,1
"247","Connecticut",1984,1
"248","Connecticut",1987,1
"249","Connecticut",1988,1
"250","Connecticut",1989,1
"251","Connecticut",1990,1
"252","Delaware",1941,0
"253","Delaware",1942,0
"254","Delaware",1943,0
"255","Delaware",1944,0
"256","Delaware",1945,0
"257","Delaware",1946,0
"258","Delaware",1947,0
"259","Delaware",1948,0
