State,Total,Deployment,Supply,Demand
Michigan,144.35,93.6,35.75,15
Florida,80.6,62.4,29.25,13
Missouri,75.65,52,29.25,11
Texas,73,52,26,10
Ohio,71.1,52,22.75,9.5
Washington,70,41.6,19.5,9
Kansas,67.25,41.6,19.5,8
Virginia,65.6,41.6,19.5,8
Colorado,58.45,41.6,19.5,7
Iowa,55.85,31.2,19.5,7
Oregon,52.05,31.2,16.25,6.5
Arizona,51.2,31.2,16.25,6.5
Indiana,47.45,31.2,16.25,6.5
California,46.55,31.2,16.25,6
Illinois,45.3,31.2,13,5.5
Minnesota,44.95,20.8,13,5
Nebraska,42.7,20.8,13,5
North_Dakota,37.7,20.8,13,5
North_Carolina,35.75,20.8,13,5
South_Carolina,34.3,15.6,9.75,5
Maine,26,10.4,9.75,4.5
Pennsylvania,25.5,10.4,9.75,4.5
Alaska,25.15,10.4,9.75,4
Kentucky,24.25,10.4,9.75,4
Wisconsin,23,0,9.75,3.5
New_Hampshire,19.35,0,9.75,3.5
Tennessee,18.75,0,9.75,3.5
Alabama,18.4,0,9.75,3.5
Idaho,18.25,0,9.75,3
Connecticut,17.9,0,9.75,3
Montana,17.25,0,9.75,2
Maryland,16.5,0,6.5,2
District of Columbia,14.65,0,6.5,2
Oklahoma,13.75,0,6.5,2
New_York,11.75,0,6.5,1.5
Vermont,11.5,0,6.5,1.5
South_Dakota,11.25,0,6.5,1.5
Wyoming,11.25,0,6.5,1
Massachusetts,10.75,0,6.5,1
Louisiana,9.5,0,6.5,1
New_Mexico,8.5,0,6.5,1
Hawaii,7.5,0,6.5,1
New_Jersey,7.5,0,6.5,1
Rhode_Island,7.5,0,6.5,1
Utah,6.75,0,6.5,1
Delaware,6.5,0,3.25,1
Mississippi,6.5,0,3.25,0.5
West_Virginia,6.5,0,3.25,0
Georgia,6.25,0,3.25,0
Arkansas,1,0,0,0
Nevada,1,0,0,0
