machine_id,hoh_most_education,census_region,household_size,hoh_oldest_age,household_income,children,racial_background,connection_speed,country_of_origin,zip_code
62,2,4,2,7,3,1,1,0,0,88352
2715,99,2,2,3,3,1,1,1,0,63146
3086,99,4,1,5,5,0,1,1,0,84102
3325,1,2,2,11,4,1,1,0,0,65323
3939,1,1,5,7,6,1,1,1,0,11772
4206,99,4,2,8,6,1,1,1,0,99516
4826,99,1,2,4,5,1,1,0,0,19606
5106,99,3,3,5,5,1,1,1,0,77566
5205,99,4,5,5,4,1,1,0,0,97502
5450,99,4,2,11,4,0,1,0,0,92544
6526,99,4,2,10,2,0,1,0,0,98339
6777,5,1,2,9,5,0,1,1,0,13316
7152,99,4,2,8,4,0,1,0,0,92585
7255,1,1,3,8,4,1,1,0,0,08070
8024,4,4,6,5,3,1,1,1,0,81004
8217,99,4,4,9,6,1,1,0,0,95838
8219,99,2,3,9,4,1,1,0,0,49686
8701,5,1,4,7,4,1,1,0,0,14526
8805,99,3,2,9,5,1,1,0,0,32617
9260,2,4,1,8,6,0,1,0,0,95404
9458,5,1,5,7,5,1,1,1,0,11779
10383,99,3,6,6,3,1,1,0,0,36092
10912,99,1,2,8,4,1,1,0,0,04544
11059,1,3,6,4,3,1,1,1,0,31768
11248,99,4,6,7,3,1,1,0,0,94044
11645,99,4,3,11,2,0,1,1,0,87701
11978,99,2,3,2,5,1,1,1,0,44124
12419,99,2,1,3,1,0,1,0,0,68105
12550,99,1,2,8,4,1,1,1,0,10034
12760,99,2,2,6,6,0,1,0,0,48350
12920,99,3,5,9,4,1,1,0,0,71039
13129,99,4,3,10,7,1,1,0,0,95503
13186,99,2,2,8,5,0,1,0,0,50022
13700,99,1,1,3,4,0,1,1,0,19380
14024,99,1,2,3,1,0,1,0,0,05656
14183,99,3,2,9,5,0,1,0,0,23454
14813,99,3,4,7,6,1,1,0,0,73072
14978,1,2,2,7,3,0,1,0,0,44705
16122,0,1,3,7,3,1,1,0,0,12836
16618,4,4,1,8,4,0,1,0,0,92503
17059,2,4,2,7,4,1,1,0,0,89431
18229,2,1,1,7,4,0,1,0,0,13440
18300,99,3,2,11,2,0,1,0,0,42038
18425,99,1,2,8,7,0,1,0,0,17240
18663,99,3,4,5,5,1,1,0,0,29605
18875,99,1,5,6,5,1,1,0,0,08809
19227,2,4,2,11,4,1,1,0,0,89014
19304,1,2,2,11,5,0,1,1,0,46327
19829,1,1,5,8,5,1,1,0,0,19154
20042,99,3,2,6,5,0,1,1,0,33704
20090,99,4,5,7,6,1,1,0,0,98059
20737,99,4,4,7,4,1,1,0,0,95018
21871,99,1,3,8,7,0,1,0,0,08889
22499,99,3,3,11,6,1,1,1,0,22153
22695,99,2,3,4,5,1,1,0,0,65473
23869,99,1,2,7,4,0,1,1,0,03301
24104,99,3,2,9,5,0,1,0,0,30256
24128,99,3,4,8,6,0,1,1,0,20657
24928,4,1,1,8,4,0,1,0,0,10039
25245,4,1,2,10,7,1,1,0,0,15666
25458,4,1,3,6,6,1,1,0,0,18301
25515,3,1,2,8,5,1,1,1,0,14534
26848,1,2,3,8,5,1,1,0,0,51601
26853,4,3,2,10,5,0,1,0,0,71655
27541,5,1,3,8,7,1,1,0,0,10003
27707,99,2,5,5,4,1,1,0,0,58701
27903,99,3,3,3,5,1,1,1,0,21226
27942,99,1,4,7,2,1,5,0,0,01040
28507,4,4,4,6,2,1,1,0,0,84010
28561,99,2,1,3,3,0,1,0,0,54935
29059,99,3,2,11,1,0,1,1,0,29472
29286,99,2,4,5,1,1,2,1,0,60628
29853,99,1,1,3,5,0,1,1,0,11771
30038,99,3,3,9,1,1,1,0,0,72958
30066,1,2,1,8,6,0,1,0,0,46733
30816,99,3,4,7,5,1,1,1,0,33462
31320,1,2,2,11,2,0,1,1,0,54814
31469,1,3,4,8,6,1,1,1,0,38343
31727,99,1,4,8,7,1,1,1,0,11724
33145,99,3,3,7,5,1,1,1,0,74501
33979,99,2,1,4,3,0,1,1,0,57106
35263,1,3,4,4,4,1,1,1,0,78654
35344,99,1,1,8,5,0,1,0,0,12167
35523,99,3,1,5,6,0,1,0,0,22003
35809,2,2,3,4,3,1,1,0,0,66502
36860,1,4,5,10,7,1,1,1,0,89801
37805,99,1,3,10,7,1,1,0,1,08873
38351,99,3,1,9,1,0,1,0,0,26241
39184,4,4,3,10,4,1,5,0,0,89406
39692,1,2,3,11,6,1,1,1,0,45458
39751,1,3,3,11,5,1,1,0,0,34491
40298,99,4,3,3,4,0,1,0,0,95682
41097,99,4,3,10,2,1,1,1,0,91506
41478,99,3,6,10,5,1,1,0,0,70065
41985,99,1,3,8,4,1,1,0,0,08812
