State,,2000.income,1999.income,1998.income,1997.income,1996.income,2008.income,2004.income
Alabama,Alabama,35424.00,36251.00,36266.00,31939.00,30302.00,44476.00,36629.00
Alaska,Alaska,52847.00,51396.00,50692.00,47994.00,52779.00,63989.00,55063.00
Arizona,Arizona,39783.00,36995.00,37090.00,32740.00,31637.00,46914.00,43846.00
Arkansas,Arkansas,29697.00,29682.00,27665.00,26162.00,27123.00,39586.00,34984.00
California,California,46816.00,43629.00,40934.00,39694.00,38812.00,57014.00,49222.00
Colorado,Colorado,48240.00,48177.00,46599.00,43233.00,40950.00,60943.00,50886.00
Connecticut,Connecticut,50172.00,50593.00,46508.00,43985.00,42119.00,64682.00,55100.00
Delaware,Delaware,50365.00,46628.00,41458.00,43033.00,39309.00,50702.00,48049.00
District of Columbia,District of Columbia,41222.00,38670.00,33433.00,31860.00,31966.00,55590.00,43451.00
Florida,Florida,38856.00,35831.00,34909.00,32455.00,30641.00,44857.00,40535.00
Georgia,Georgia,41901.00,39425.00,38665.00,36663.00,32496.00,46227.00,40984.00
Hawaii,Hawaii,51546.00,44504.00,40827.00,40934.00,41772.00,61521.00,56242.00
Idaho,Idaho,37611.00,35800.00,36680.00,33404.00,34709.00,47420.00,44358.00
Illinois,Illinois,46064.00,46330.00,43178.00,41283.00,39554.00,53254.00,46077.00
Indiana,Indiana,40865.00,40838.00,39731.00,38889.00,35147.00,46520.00,42329.00
Iowa,Iowa,40991.00,41098.00,37019.00,33783.00,33209.00,50142.00,43391.00
Kansas,Kansas,41059.00,37348.00,36711.00,36471.00,32585.00,47877.00,41066.00
Kentucky,Kentucky,36265.00,33738.00,36252.00,33452.00,32413.00,41148.00,35610.00
Louisiana,Louisiana,30718.00,32654.00,31735.00,33260.00,30262.00,39563.00,36429.00
Maine,Maine,37266.00,38862.00,35640.00,32772.00,34696.00,47228.00,41329.00
Maryland,Maryland,54535.00,52205.00,50016.00,46685.00,43993.00,63711.00,57103.00
Massachusetts,Massachusetts,46753.00,44005.00,42345.00,42023.00,39494.00,60320.00,52019.00
Michigan,Michigan,45512.00,46089.00,41821.00,38742.00,39225.00,49788.00,42256.00
Minnesota,Minnesota,54251.00,47038.00,47926.00,42564.00,40991.00,54925.00,56104.00
Mississippi,Mississippi,34299.00,32478.00,29120.00,28499.00,26677.00,36446.00,34755.00
Missouri,Missouri,45097.00,41383.00,40201.00,36553.00,34265.00,46038.00,42137.00
Montana,Montana,32777.00,31038.00,31577.00,29212.00,28684.00,42900.00,33956.00
Nebraska,Nebraska,41750.00,38626.00,36413.00,34692.00,34014.00,50728.00,43786.00
Nevada,Nevada,45758.00,41461.00,39756.00,38854.00,38540.00,54744.00,47204.00
New Hampshire,New Hampshire,50926.00,46055.00,44958.00,40998.00,39407.00,66176.00,56815.00
New Jersey,New Jersey,50405.00,49734.00,49826.00,48021.00,47468.00,65306.00,55275.00
New Mexico,New Mexico,35093.00,32574.00,31543.00,30086.00,25086.00,42102.00,39562.00
New York,New York,40744.00,39989.00,37394.00,35798.00,35410.00,50461.00,44649.00
North Carolina,North Carolina,38317.00,37254.00,35838.00,35840.00,35601.00,42930.00,40238.00
North Dakota,North Dakota,35996.00,32663.00,30304.00,31661.00,31470.00,49631.00,39220.00
Ohio,Ohio,42962.00,39489.00,38925.00,36134.00,34070.00,46934.00,43055.00
Oklahoma,Oklahoma,32432.00,32683.00,33727.00,31351.00,27437.00,46111.00,39614.00
Oregon,Oregon,42499.00,40619.00,39067.00,37247.00,35492.00,51727.00,40994.00
Pennsylvania,Pennsylvania,42176.00,37758.00,39015.00,37517.00,34899.00,51402.00,44106.00
Rhode Island,Rhode Island,42197.00,42719.00,40686.00,34797.00,36986.00,53241.00,47935.00
South Carolina,South Carolina,37570.00,36462.00,33267.00,34262.00,34665.00,42155.00,38691.00
South Dakota,South Dakota,36475.00,35828.00,32786.00,29694.00,29526.00,51600.00,41107.00
Tennessee,Tennessee,34096.00,36522.00,34091.00,30636.00,30790.00,39702.00,38072.00
Texas,Texas,38609.00,38688.00,35783.00,35075.00,33072.00,46490.00,41397.00
Utah,Utah,47550.00,46050.00,44299.00,42775.00,37038.00,62537.00,50871.00
Vermont,Vermont,39594.00,41584.00,39372.00,35053.00,32358.00,50706.00,47329.00
Virginia,Virginia,47163.00,45693.00,43354.00,42957.00,39211.00,61985.00,51141.00
Washington,Washington,42525.00,45473.00,47421.00,44562.00,36676.00,56631.00,49922.00
West Virginia,West Virginia,29411.00,29297.00,26704.00,27488.00,25247.00,37994.00,33373.00
Wisconsin,Wisconsin,45088.00,45667.00,41327.00,39595.00,40001.00,51200.00,45732.00
Wyoming,Wyoming,39629.00,37248.00,35250.00,33423.00,30953.00,53337.00,45397.00
