state,zipcode,zipproviders,
AK,99501,4,
AK,99502,2,
AK,99503,4,
AK,99504,4,
AK,99505,2,
AK,99506,2,
AK,99507,2,
AK,99508,4,
AK,99515,2,
AK,99516,4,
AK,99517,2,
AK,99518,4,
AK,99546,2,
AK,99547,2,
AK,99549,2,
AK,99551,2,
AK,99552,2,
AK,99553,2,
AK,99554,2,
AK,99555,2,
AK,99556,2,
AK,99557,2,
AK,99558,2,
AK,99559,2,
AK,99561,2,
AK,99563,2,
AK,99564,2,
AK,99565,2,
AK,99567,2,
AK,99568,2,
AK,99569,2,
AK,99571,2,
AK,99572,2,
AK,99573,2,
AK,99574,2,
AK,99575,2,
AK,99576,2,
AK,99577,4,
AK,99578,2,
AK,99579,2,
AK,99580,2,
AK,99581,2,
AK,99583,2,
AK,99585,2,
AK,99586,2,
AK,99587,2,
AK,99588,2,
AK,99589,2,
AK,99590,2,
AK,99591,2,
AK,99602,2,
AK,99603,4,
AK,99604,2,
AK,99606,2,
AK,99607,2,
AK,99610,2,
AK,99611,4,
AK,99612,2,
AK,99613,2,
AK,99614,2,
AK,99615,2,
AK,99620,2,
AK,99621,2,
AK,99622,2,
AK,99625,2,
AK,99626,2,
AK,99627,2,
AK,99628,2,
AK,99630,2,
AK,99631,2,
AK,99632,2,
AK,99633,2,
AK,99636,2,
AK,99638,2,
AK,99639,2,
AK,99640,2,
AK,99645,4,
AK,99647,2,
AK,99648,2,
AK,99649,2,
AK,99650,2,
AK,99651,2,
AK,99653,2,
AK,99654,4,
AK,99655,2,
AK,99656,2,
AK,99657,2,
AK,99658,2,
AK,99659,2,
AK,99660,2,
AK,99661,2,
AK,99662,2,
AK,99664,2,
AK,99665,2,
AK,99667,2,
AK,99668,2,
AK,99669,2,
AK,99670,2,
AK,99671,2,
AK,99672,2,
AK,99676,2,
AK,99681,2,
AK,99682,2,
AK,99683,2,
AK,99684,2,
AK,99685,2,
AK,99686,2,
AK,99687,4,
AK,99688,2,
AK,99689,2,
AK,99691,2,
AK,99692,2,
AK,99701,2,
AK,99702,2,
AK,99703,2,
AK,99704,2,
